RMSE,R2,,,
,,,,
7.489653201,0.612693575,,9.45172689,0.41901623
,,,,
8.336591156,0.646873784,,,
,,,,
16.82476773,0.212127934,,,
,,,,
10.78474444,0.063806261,,,
,,,,
10.55398012,0.249585563,,,
,,,,
6.096158007,0.58652859,,,
,,,,
6.763763039,0.704076017,,,
,,,,
11.91234553,0.017907888,,,
,,,,
9.355239549,0.342638134,,,
,,,,
6.400026135,0.75392455,,,
