RMSE,R2,,,
,,,RMSE,R2
13.11012225,0.510628761,,7.863155476,0.633589813
,,,,
8.943888462,0.646369909,,,
,,,,
5.749619694,0.627428906,,,
,,,,
5.971989454,0.582569517,,,
,,,,
6.474831279,0.557375063,,,
,,,,
11.44393694,0.829488229,,,
,,,,
6.742200033,0.509308639,,,
,,,,
6.734093556,0.605658859,,,
,,,,
5.095283279,0.691342567,,,
,,,,
8.365589811,0.775727683,,,
