RMSE,R2,,,
,,,,
8.103240292,0.254332962,,7.595227202,0.531469895
,,,,
9.556242695,0.828568392,,,
,,,,
5.556031401,0.551871731,,,
,,,,
8.877862962,0.676120088,,,
,,,,
10.92620075,-0.064510027,,,
,,,,
8.62063443,0.323592909,,,
,,,,
4.714403465,0.773614784,,,
,,,,
8.289225061,0.773358703,,,
,,,,
4.322011274,0.654134846,,,
,,,,
6.986419693,0.543614565,,,
