DataTypeVer2.0,Time,RawData
NumberOfData,,300
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,-22.2447
,0.1,-23.5796
,0.2,-21.6954
,0.3,-21.9865
,0.4,-23.4807
,0.5,-26.7437
,0.6,-24.2442
,0.7,-28.0181
,0.8,-29.4024
,0.9,-34.3682
,1,-38.1695
,1.1,-44.0747
,1.2,-46.5961
,1.3,-48.5407
,1.4,-50.2216
,1.5,-51.9355
,1.6,-52.4958
,1.7,-53.5615
,1.8,-57.2145
,1.9,-58.0329
,2,-62.2078
,2.1,-59.571
,2.2,-58.78
,2.3,-60.4719
,2.4,-59.4392
,2.5,-65.1851
,2.6,-68.058
,2.7,-65.5366
,2.8,-66.0915
,2.9,-65.0477
,3,-63.2679
,3.1,-58.6811
,3.2,-61.1091
,3.3,-59.6589
,3.4,-56.6871
,3.5,-51.3312
,3.6,-51.1445
,3.7,-51.7212
,3.8,-49.9799
,3.9,-46.1017
,4,-44.624
,4.1,-39.6637
,4.2,-36.5215
,4.3,-37.2906
,4.4,-34.9615
,4.5,-31.3909
,4.6,-32.0611
,4.7,-27.0842
,4.8,-27.1831
,4.9,-24.0849
,5,-23.2829
,5.1,-22.1788
,5.2,-18.5368
,5.3,-18.4434
,5.4,-17.5151
,5.5,-17.5206
,5.6,-14.8674
,5.7,-17.5425
,5.8,-16.1253
,5.9,-14.7026
,6,-12.9392
,6.1,-14.1972
,6.2,-13.3018
,6.3,-13.4007
,6.4,-15.8012
,6.5,-16.2077
,6.6,-16.8779
,6.7,-20.3386
,6.8,-19.5805
,6.9,-23.5796
,7,-24.464
,7.1,-26.7986
,7.2,-26.9194
,7.3,-25.4253
,7.4,-26.3591
,7.5,-27.26
,7.6,-30.6823
,7.7,-31.1547
,7.8,-36.2524
,7.9,-36.3897
,8,-37.6861
,8.1,-35.9613
,8.2,-37.7081
,8.3,-37.7191
,8.4,-37.1478
,8.5,-37.7026
,8.6,-37.3345
,8.7,-38.2849
