DataTypeVer2.0,Time,RawData
NumberOfData,,300
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,-4.51815
,0.1,-9.98388
,0.2,-5.61679
,0.3,-6.51219
,0.4,-5.26523
,0.5,-10.7914
,0.6,-11.6428
,0.7,-13.6918
,0.8,-14.6861
,0.9,-17.0866
,1,-23.8542
,1.1,-27.9741
,1.2,-31.715
,1.3,-33.4234
,1.4,-33.8079
,1.5,-36.4227
,1.6,-33.0553
,1.7,-27.8643
,1.8,-25.6175
,1.9,-22.448
,2,-19.5091
,2.1,-20.5144
,2.2,-18.8334
,2.3,-16.3999
,2.4,-9.80262
,2.5,-9.83558
,2.6,-9.14893
,2.7,-10.9342
,2.8,-2.67793
,2.9,-6.66051
,3,-0.96955
,3.1,-5.47398
,3.2,-7.95691
,3.3,-8.15465
,3.4,-10.3355
,3.5,-13.6588
,3.6,-13.1425
,3.7,-14.5927
,3.8,-16.8888
,3.9,-18.1907
,4,-21.179
,4.1,-20.5473
,4.2,-24.019
,4.3,-22.6238
,4.4,-23.9861
,4.5,-29.6056
,4.6,-28.1664
,4.7,-27.9247
,4.8,-20.5473
,4.9,-18.8005
,5,-14.2631
,5.1,-18.9433
,5.2,-10.6431
,5.3,-10.8024
,5.4,-6.1771
,5.5,-3.837
,5.6,-1.74958
,5.7,-2.53511
,5.8,1.821
,5.9,3.81503
,6,6.74291
,6.1,4.37534
,6.2,3.62277
,6.3,-3.84799
,6.4,-10.319
,6.5,-14.5597
,6.6,-18.9543
,6.7,-24.2992
,6.8,-28.2543
,6.9,-29.0838
,7,-40.625
,7.1,-40.8612
,7.2,-46.4148
,7.3,-49.6503
,7.4,-48.288
,7.5,-54.4733
,7.6,-54.5667
,7.7,-58.5163
,7.8,-56.2531
,7.9,-54.8634
,8,-44.6185
,8.1,-37.4005
,8.2,-31.0503
,8.3,-26.5129
,8.4,-21.7064
,8.5,-19.8167
,8.6,-15.565
,8.7,-13.9884
,8.8,-9.18188
