DataTypeVer2.0,Time,RawData
NumberOfData,,300
PreTriggerData,,0
SamplingTime[ms],,100.000
DataLabel,,GonioCh2[1]
DataUnit,sec,deg
,0,-23.4312
,0.1,-24.1509
,0.2,-24.0849
,0.3,-22.6347
,0.4,-23.1786
,0.5,-25.3374
,0.6,-28.9409
,0.7,-27.1721
,0.8,-26.4635
,0.9,-30.2703
,1,-32.1215
,1.1,-37.2467
,1.2,-41.9983
,1.3,-41.3116
,1.4,-46.4148
,1.5,-44.3219
,1.6,-43.6902
,1.7,-45.3436
,1.8,-45.4315
,1.9,-46.8982
,2,-48.0188
,2.1,-46.5631
,2.2,-49.2438
,2.3,-50.683
,2.4,-51.4191
,2.5,-50.5677
,2.6,-53.0012
,2.7,-54.8524
,2.8,-54.5337
,2.9,-56.374
,3,-57.8352
,3.1,-58.2362
,3.2,-56.9892
,3.3,-55.7642
,3.4,-59.8402
,3.5,-61.3289
,3.6,-61.4717
,3.7,-63.1746
,3.8,-60.9333
,3.9,-63.6195
,4,-61.6474
,4.1,-60.5433
,4.2,-60.0325
,4.3,-56.0938
,4.4,-52.0618
,4.5,-51.7267
,4.6,-49.0076
,4.7,-46.5082
,4.8,-45.0745
,4.9,-41.2018
,5,-41.2347
,5.1,-39.8834
,5.2,-37.1697
,5.3,-34.0881
,5.4,-32.3357
,5.5,-31.6875
,5.6,-30.9624
,5.7,-29.71
,5.8,-22.2337
,5.9,-15.6639
,6,-15.3233
,6.1,-15.7682
,6.2,-13.961
,6.3,-11.1594
,6.4,-9.63782
,6.5,-8.05028
,6.6,-6.23752
,6.7,-4.44675
,6.8,-4.16659
,6.9,-5.52341
,7,-5.40806
,7.1,-5.02352
,7.2,-6.26499
,7.3,-9.29725
,7.4,-16.1473
,7.5,-17.2184
,7.6,-21.9371
,7.7,-25.4418
,7.8,-28.5454
,7.9,-29.1552
,8,-31.1052
,8.1,-36.0821
,8.2,-37.4774
,8.3,-40.5096
,8.4,-42.3663
,8.5,-43.7616
,8.6,-45.6128
,8.7,-48.7384
