RMSE,R2,,,
,,,,
7.54755184,0.491609658,,9.802159684,0.425560554
,,,,
9.496152375,0.255841229,,,
,,,,
3.877282916,0.813864225,,,
,,,,
6.195468701,0.610755981,,,
,,,,
10.54064944,0.721451196,,,
,,,,
19.33973557,-0.196960559,,,
,,,,
14.36235152,0.290960606,,,
,,,,
3.305262452,0.928959246,,,
,,,,
7.815152143,0.421702448,,,
,,,,
15.54198988,-0.082578489,,,
