RMSE,R2,,,
,,,,
6.888746709,0.471983853,,5.277254443,0.658464595
,,,,
5.79628383,0.596443613,,,
,,,,
5.213363426,0.816001317,,,
,,,,
8.682492072,0.445629701,,,
,,,,
3.229049617,0.941943749,,,
,,,,
7.119610918,0.419374489,,,
,,,,
3.170799244,0.914853653,,,
,,,,
5.504294225,0.169856273,,,
,,,,
4.380130279,0.911561783,,,
,,,,
2.78777411,0.896997516,,,
